state,date,admissions
AS,3/17/2022,0
VI,3/17/2022,0
AS,3/16/2022,0
VI,3/16/2022,0
AS,3/15/2022,0
VI,3/15/2022,0
AS,3/14/2022,0
VI,3/13/2022,0
AS,3/12/2022,0
VI,3/12/2022,0
AS,3/11/2022,0
VI,3/10/2022,0
AS,3/9/2022,0
VI,3/9/2022,0
AS,3/8/2022,0
VI,3/8/2022,0
AS,3/7/2022,0
VI,3/7/2022,0
AS,3/6/2022,0
VI,3/5/2022,0
AS,3/4/2022,0
VI,3/4/2022,0
AS,3/3/2022,0
VI,3/2/2022,0
AS,3/1/2022,0
VT,3/1/2022,0
AS,2/28/2022,0
VI,2/28/2022,0
AS,2/27/2022,0
VI,2/27/2022,0
AS,2/26/2022,0
VI,2/25/2022,0
AS,2/24/2022,0
VI,2/24/2022,0
AS,2/23/2022,0
VI,2/22/2022,0
AS,2/21/2022,0
VI,2/21/2022,0
AS,2/20/2022,0
VI,2/20/2022,0
AS,2/19/2022,0
VI,2/19/2022,0
AS,2/18/2022,0
VI,2/17/2022,0
AS,2/16/2022,0
VI,2/16/2022,0
AS,2/15/2022,0
VI,2/14/2022,0
AS,2/13/2022,0
VI,2/13/2022,0
AS,2/12/2022,0
VI,2/12/2022,0
AS,2/11/2022,0
AS,2/10/2022,0
VI,2/9/2022,0
AS,2/8/2022,0
VI,2/8/2022,0
AS,2/7/2022,0
VI,2/6/2022,0
VI,2/5/2022,0
VI,2/4/2022,0
VI,2/1/2022,0
VI,1/31/2022,0
AS,1/30/2022,0
VI,1/29/2022,0
AS,1/28/2022,
VI,1/28/2022,0
VI,1/27/2022,0
VI,1/24/2022,0
AS,1/23/2022,0
VI,1/23/2022,0
VI,1/21/2022,0
AS,1/20/2022,0
VI,1/19/2022,0
AS,1/17/2022,0
VI,1/16/2022,0
VI,1/15/2022,0
VI,1/13/2022,0
AS,1/12/2022,0
VI,1/11/2022,0
AS,1/9/2022,0
WV,1/8/2022,2
AS,1/7/2022,0
VI,1/7/2022,0
AS,1/6/2022,0
VI,1/5/2022,0
VT,1/4/2022,0
AS,1/1/2022,0
VI,1/1/2022,0
VI,12/31/2021,0
AS,12/28/2021,0
AS,12/24/2021,0
MT,12/21/2021,0
NH,12/20/2021,1
PR,12/20/2021,0
HI,12/13/2021,0
RI,12/13/2021,0
MT,12/12/2021,0
CO,12/11/2021,9
